batch_id,event_id,node,title,proposed_ayah_range,relation_type,risk_level,caution,owner_decision,corrected_ayah_range,source_id,owner_note,final_recommended_status
evidence_mapping_sprint_01,adam_01__,آدم عليه السلام,تعليم الأسماء,2:31-33,main,high,تقسيم كتلة البقرة 2:30-37 مع adam_02__ وadam_03__ وadam_04__,,,,,
evidence_mapping_sprint_03,adam_02__,آدم عليه السلام,السجود لآدم,2:34,main,high,نطاق 2:34 ضمن كتلة آدم في البقرة — تداخل مع الدفعة 1 و3,,,,,
evidence_mapping_sprint_03,adam_03__,آدم عليه السلام,وسوسة إبليس,2:35-36,main,high,2:35-36 يتداخل مع adam_04__ (2:35-39) في الدفعة 1,,,,,
evidence_mapping_sprint_01,adam_04__,آدم عليه السلام,الهبوط والتلقي,2:35-39,main,high,2:35-39 يتداخل مع adam_03__ في الدفعة 3,,,,,
evidence_mapping_sprint_02,ayyub_01__,أيوب عليه السلام,الضر,21:83,main,medium,21:83 — تداخل مع ayyub_02__ و03__,,,,,
evidence_mapping_sprint_02,ayyub_02__,أيوب عليه السلام,الدعاء,21:83-84,main,high,21:83-84 يتداخل مع ayyub_01__ وayyub_03__ (21:84),,,,,
evidence_mapping_sprint_05,ayyub_03__,أيوب عليه السلام,الفرج,21:84,main,high,21:84 ضمن نطاق ayyub_02__ في الدفعة 2,,,,,
evidence_mapping_sprint_02,dawud_01__,داود عليه السلام,قتل جالوت,2:251,main,low,آية مباشرة لكن seed لم يُراجع بعد — مسودة sprint؛ لا approved تلقائيًا.,,,,,
evidence_mapping_sprint_02,dawud_02__,داود عليه السلام,الحكم,38:21-26,main,medium,تقسيم ص 38:17-26,,,,,
evidence_mapping_sprint_05,dawud_03__,داود عليه السلام,تسبيح الجبال,38:18-19,main,medium,تسبيح الجبال — بدائل 21:79 و34:10,,,,,
evidence_mapping_sprint_05,dhulqarnayn_01__,ذو القرنين,السفر,18:83-86,main,high,بداية كتلة الكهف 18:83-98 — قبل dhulqarnayn_03__,,,,,
evidence_mapping_sprint_05,dhulqarnayn_02__,ذو القرنين,الحكم بالعدل,18:87-88,main,high,18:87-88 بين السفر وبناء السد,,,,,
evidence_mapping_sprint_02,dhulqarnayn_03__,ذو القرنين,بناء السد,18:94-98,main,high,18:94-98 — ختام كتلة ذي القرنين,,,,,
evidence_mapping_sprint_03,ibrahim_03__,إبراهيم عليه السلام,النار,21:68-70,main,medium,نطاق فرعي ضمن ibrahim_kaaba precise (21:51-70),,,,,
evidence_mapping_sprint_01,ibrahim_04__,إبراهيم عليه السلام,الذبح,37:102-107,main,low,النص قرآني واضح لكن seed لا يحتوي مرجعًا صريحًا — مسودة sprint فقط، لا approved.,,,,,
